# 由 tools/ime-kaomoji/mkkaomoji.py 生成，不要手改。颜文字<Tab>关键词，常用的在前。
(⌒▽⌒)	にこにこ 笑 微笑 开心 にこっ にこ にゃー 喵 猫
(^.^)	にこにこ 笑 微笑 开心 にこっ にこ
（＾ν＾）	にゅっ にこにこ 笑 微笑 开心 にこっ にこ
(#^.^#)	にこにこ 笑 微笑 开心 にこっ にこ
(#^^#)	にこっ 微笑 にこ 笑 にこにこ 开心
(p_-)	むしめがね OTHER
(..)	どれどれ OTHER
φ(..)	めもめも OTHER
(・_・)	びくっ 吓 びっくり 惊讶 吃惊 めがてん えー OTHER
(・・)	めがてん 惊讶 びっくり 吃惊 びくっ 吓 しーん 安静 OTHER
(・・?	めがてん 惊讶 なぜ 为什么 なぞ 疑问 はてな OTHER
(・。・)	めがてん 惊讶 びっくり 吃惊 びくっ 吓 OTHER
(*´Д｀)	てれ 害羞 あーん 喂 笑
(*´艸｀*)	てれ 害羞 ぽっ きゃっ
(*´ｪ`*)	てれ 害羞 ぽっ
(*´ω`*)	てれ 害羞 笑
(●´ω｀●)	てれ 害羞 にこ 笑 微笑 にこにこ 开心 ぽっ
(๑˙❥˙๑)	くちびる 亲亲 笑
(^Q^)	じゅるっ 馋 にこっ 微笑 OTHER
(^m^)	とんとん 敲敲 OTHER
(^ρ^)	あひゃ
（*^_^*）	にこにこ 笑 微笑 开心 にこっ にこ
（；＾ω＾）	あせ 汗 尴尬
（＾ｖ＾）	にこにこ 笑 微笑 开心 にこっ にこ わーい 好耶 耶
（＾◇＾）	にこにこ 笑 微笑 开心 にこっ にこ わーい 好耶 耶
（＾ｕ＾）	にこにこ 笑 微笑 开心 にこっ にこ
（ ＾ν＾）	にゅっ にこにこ 笑 微笑 开心 にこっ にこ
（●＾o＾●）	にこにこ 笑 微笑 开心 にこっ にこ わーい 好耶 耶
（●｀ε´●）	ぷんぷん 生气 哼 いかり 愤怒 むか
(゜_゜)	うーん 嗯 思考 えっと えーと OTHER
(゜.゜)	うーん 嗯 思考 えっと えーと OTHER
(゜レ゜)	うーん 嗯 思考 OTHER
(@@)	めがてん 惊讶 びっくり 吃惊 びくっ 吓 OTHER
(@_@。	びくっ 吓 びっくり 惊讶 吃惊 めがてん OTHER
(+o+)	うーん 嗯 思考 OTHER
(｡･_･｡)	うーん 嗯 思考
(｡･･｡)	てれ 害羞
(ΦωΦ)	ねこ 猫 どうぶつ 动物
(〃∇〃)	てれ 害羞
_(:3」∠)_	たかざわじゅんすけ
( ﾟдﾟ )	みんな 大家 みるな OTHER
( ﾟдﾟ )彡	ふりむき
(´ﾟдﾟ｀)	びっくり 惊讶 吃惊
(ﾟдﾟ)！	びっくり 惊讶 吃惊
ヮ(ﾟдﾟ)ォ!	わお
( ﾟдﾟ)ﾊｯ!	はっ びっくり 惊讶 吃惊
( ﾟ∀ﾟ)o彡°	じょるじゅ
(ﾟ∀ﾟ)ｱﾋｬ	あひゃ
ﾍ(ﾟ∀ﾟﾍ)ｱﾋｬ	あひゃ
Σ(ﾟ∀ﾟﾉ)ﾉｷｬｰ	きゃー びっくり 惊讶 吃惊
(*ﾉｪﾉ)ｷｬｰ	てれ 害羞 きゃー
(ﾉ∀`)ｱﾁｬｰ	あちゃー
(´Д｀)ﾊｧ…	はぁ 唉 叹气
(;´Д｀)ﾊｧﾊｧ	はぁはぁ あせ 汗 尴尬
(*´Д`)ﾊｧﾊｧ	はぁはぁ
(ﾟДﾟ)ﾊｧ?	はぁ 唉 叹气
(ﾟдﾟ)ｳﾏｰ	うまー
|дﾟ)ﾁﾗｯ	ちらっ OTHER
(・д・)ﾁｯ	ちっ
(/ω・＼)ﾁﾗｯ	ちらっ
(-ω☆)ｷﾗﾘ	きらり
(-д☆)ｷﾗｯ	きらっ
(^_^)/~	ばいばい 拜拜 再见 さようなら さよなら
／(^o^)＼	おわた 完蛋 完了 OTHER
!(^o^)!	にこにこ 笑 微笑 开心 にこっ にこ ぴんぽーん
ヽ(´ー｀)ノ	またーり ばんざーい 万岁 OTHER
ヽ(´ｴ`)ﾉ	ばんざい 万岁 好耶
(=^･^=)	にこ 笑 微笑 にこにこ 开心 にこっ
(=^・^=)	どうぶつ 动物 ねこ 猫 OTHER
(=^・・^=)	どうぶつ 动物 ねこ 猫 OTHER
(*μ_μ)	てれ 害羞
(о´∀`о)	にこ 笑 微笑
Σ(・∀・；)	どきっ 心动 あせ 汗 尴尬
(　；∀；)	しくしく 哭 呜呜 なく 难过 なみだ 泪目 えーん
（ ﾟ∀ﾟ ）	にこにこ 笑 微笑 开心 にこ にこっ
(,,ﾟДﾟ)	ぎこ
(≧∀≦)	にこ 笑 微笑
(≧∇≦)/	いえい
（≧∇≦）	にこ 笑 微笑
（#^ω^）	いかり 愤怒 むか 生气 ぴきぴき
((´^ω^))	ぷぎー OTHER
♪～(´ε｀ )	くちぶえ OTHER
٩(′д‵)۶	はぁ 唉 叹气 うわーん 大哭 难过
∠( ﾟдﾟ)／	びしっ 敬礼
((≡ﾟ♀ﾟ≡))	ねこ 猫
σ(ﾟ∀ﾟ )ｵﾚ	おれ
ヽ(ﾟ∀｡)ﾉｳｪ	うぇ
ヽ(｀Д´#)ﾉ	むか 生气 むかっ うわーん 大哭
ヽ(｀▽´)/	わーい 开心 好耶 耶 ばんざい 万岁
ψ(｀∇´)ψ	かもーん 来 OTHER
(｀･ω･´)ゞ	けいれい 敬礼 しゃきーん 精神 びしっ OTHER
<(｀･ω･´)	けいれい 敬礼
く(｀･ω･´)	けいれい 敬礼
∠(｀・ω・´)	けいれい 敬礼
(｀；ω；´)	ぶわっ なく 哭 难过 なみだ 泪目
(ｕ_ｕ*)	てれ 害羞 ぽっ
(^0_0^)	にこにこ 笑 微笑 开心 めがね にこ にこっ
^m^	にこにこ 笑 微笑 开心 にこ にこっ
;-(	よこおき なく 哭 难过 なみだ 泪目 しくしく 呜呜
○o。	ごぼごぼ OTHER
○o。.	ごぼごぼ ぶくぶく あわ OTHER
Ｃ:。ミ	どうぶつ 动物 たこ
|:3ミ	よこおき ばかぼんのぱぱ
|彡ｻｯ	さっ
くコ:彡	どうぶつ 动物 いか OTHER
●～*	ばくだん 炸弹 OTHER
・ｖ・	にこ 笑 微笑
・３・	ぶー
−３−	ぶー
<3	よこおき はーと 爱 喜欢
：8]	よこおき ごりら どうぶつ 动物
.。o○	ごぼごぼ ぶくぶく あわ
ʕ•ӫ̫͡•ʔ	どうぶつ 动物
ʕº̫͡ºʔ	どうぶつ 动物
Uo･ｪ･oU	どうぶつ 动物 いぬ
U^ｪ^U	どうぶつ 动物 いぬ
•́ε•̀٥	ぶー 难过
＼(-o-)／	わーい 开心 好耶 耶 にこにこ 笑 微笑 ばんざい 万岁
＼(~o~)／	にこにこ 笑 微笑 开心 ばんざい 万岁 好耶
＼(◎o◎)／！	びっくり 惊讶 吃惊 OTHER
＼(^o^)／ｵﾜﾀ	おわた 完蛋 完了
($・・)/~~~	ばいばい 拜拜 再见 さようなら さよなら
( ´ー｀)y-~~	たばこ 抽烟 いっぷく 休息 OTHER
( TДT)	なみだ 哭 泪目 なく 难过 えーん 呜呜
(/･ω･)/	ばんざい 万岁 好耶
( ･`ω･´)	まゆ しゃきーん 精神 OTHER
(； ･`ω･´)	あせ 汗 尴尬
( ･`д･´)	まゆ しゃきーん 精神 OTHER
( ･´ｰ･｀)どや	どや どやがお
(*´σｰ｀)ｴﾍﾍ	えへへ
(*ﾉω・*)ﾃﾍ	てれ 害羞 ぽっ てへ
(*'ω'*)	てれ 害羞 笑
(*‘ω‘ *)	にこ 笑 微笑 にこにこ 开心
(´vωv`*)	てれ 害羞
（´(ｪ)｀）	くまー 熊 くま どうぶつ 动物 OTHER
（・(ｪ)・）	くまー 熊 くま どうぶつ 动物 OTHER
（*´▽｀*）	もえ
(*´ω｀*)ﾓｷｭ	もきゅ
(*´ｪ｀*)ﾎﾟｯ	てれ 害羞 ぽっ
(´ε｀；)ｳｰﾝ…	うーん 嗯 思考 あせ 汗 尴尬
( ´,_ゝ｀)ﾌﾟｯ	ぷっ
(⌒,_ゝ⌒)	にこっ 微笑 ぷっ
(*￣(ｴ)￣*)	どうぶつ 动物 くま 熊
(￣ー￣)ｂｸﾞｯ!	ぐっ 棒 赞
( ´∀｀)bｸﾞｯ!	ぐっ 棒 赞
( ・∀・)ｲｲ!!	いい 好
(・∀・)ｲｲ!!	いい 好
(・∀・)ｲｲﾈ!!	いいね 点赞 赞
ｶﾜ(・∀・)ｲｲ!!	かわいい
（・∀・）ﾆﾔﾆﾔ	にやにや
(人∀・)ﾀﾉﾑ	たのむ
(´Д⊂ｸﾞｽﾝ	ぐすん なく 哭 难过
(o・ω・o)	にこ 笑 微笑 にこにこ 开心
(//∇//)	てれ 害羞 笑
ﾈﾑｲ(´･ωゞ)	ねむい 困
_φ(･_･	めも OTHER
(*°∀°)=3	もえ
(ー_ー)!!	じとっ 无语 じと びっくり 惊讶 吃惊
（ ＾ω＾）おっ	おっ
( ˘ω˘)ｽﾔｧ	すやあ すやぁ
( ˘ω˘)ｸｿﾈﾐ	くそねみ
( ^ω^ )ﾆｺﾆｺ	にこにこ 笑 微笑 开心
( ^)o(^ )	にこにこ 笑 微笑 开心 わーい 好耶 耶
( ^^) _U~~	おちゃ
( ^^) _旦~~	おちゃ
( ﾟДﾟ)y─┛~~	たばこ 抽烟 いっぷく 休息 OTHER
( ﾟдﾟ )ｸﾜｯ!!	くわっ
( ﾟдﾟ )彡そう！	そう ふりむき
щ(ﾟдﾟщ)ｶﾓｰﾝ	かもーん 来
(ﾟＡﾟ;)ｺﾞｸﾘ	ごくり あせ 汗 尴尬
(ﾟ∀ﾟ)ｷﾀｺﾚ!!	きたこれ
(;ﾟ∀ﾟ)=3ﾑｯﾊｰ	むっはー むはー
(;ﾟ∀ﾟ)=3ﾊｧﾊｧ	はぁはぁ あせ 汗 尴尬
ヽ(ﾟ∀ﾟ)ﾉ ﾊﾟｯ☆	ぱっ
ヽ(`Д´)ﾉﾌﾟﾝﾌﾟﾝ	ぷんぷん 生气 哼 こら いかり 愤怒
ヽ(｀Д´#)ﾉ ﾑｷｰ!!	むきー 气死
Σヽ(｀д´；)ﾉ うおおおお！	うおお うおおおお
|ω・｀)ﾉ ﾔｧ	やぁ
┐(´д｀)┌ﾔﾚﾔﾚ	やれやれ
(;´д｀)ﾄﾎﾎ…	とほほ あせ 汗 尴尬
( ´ー｀)ﾌｩｰ．．．	ふぅ
(´～｀)ﾓｸﾞﾓｸﾞ	もぐもぐ
(つд⊂)ｺﾞｼｺﾞｼ	ごしごし
(つ∀-)ｵﾔｽﾐｰ	おやすみ ねる 睡觉
(-。-)y-゜゜゜	いっぷく 休息 たばこ 抽烟 OTHER
(^。^)y-.。o○	いっぷく 休息 たばこ 抽烟
（´-`）.｡oO	うーん 嗯 思考 不爽
（｀ェ´）ﾋﾟｬｰ	ぴゃー
☆（ゝω・）vｷｬﾋﾟ	きゃぴ
（＾ω＾）ﾍﾟﾛﾍﾟﾛ	ぺろぺろ
(ΦωΦ)ﾌﾌﾌ…	ふふふ
ヽ(･ω･)/ｽﾞｺｰ	ずこー
(｢・ω・)｢ｶﾞｵｰ	がおー
(｀・ω・´)ｼｬｷｰﾝ	しゃきーん 精神
(´・ω・｀)ｼｮﾎﾞｰﾝ	しょぼーん 失望 郁闷
(´・ω:;.:...	しょぼーん 失望 郁闷
(´∀｀∩)↑age↑	あげ
v(´∀｀*v)ﾋﾟｰｽ	ぴーす 耶 ぶい
ε-(´∀｀*)ﾎｯ	ほっ
ﾟ(ﾟ´ω`ﾟ)ﾟ｡ﾋﾟｰ	ぴー
ι(´Д｀υ)ｱﾂｨｰ	あついー
φ(..)メモメモ	めも めもめも
Ω＼ζ°)ﾁｰﾝ	ちーん
┌(_Д_┌ )┐	ぶりっじ
(  Д ) ﾟ ﾟ	ぽーん OTHER
(ノ｀Д´)ノ彡┻━┻	ちゃぶだい ちゃぶだいがえし
( ｀・∀・´)ﾉﾖﾛｼｸ	よろしく
(ヾﾉ･∀･`)ﾑﾘﾑﾘ	むりむり
(ヾﾉ･∀･`)ﾅｲﾅｲ	ないない
( ｰ`дｰ´)ｷﾘｯ	きりっ 认真 帅 まゆ
ヾ(*´∀｀*)ﾉｷｬｯｷｬ	きゃっ きゃっきゃ
(人´∀｀)．☆．。．:*･ﾟ	うっとり 陶醉
((o(´∀｀)o))ﾜｸﾜｸ	わくわく
(σ・∀・)σｹﾞｯﾂ!!	げっつ
( ﾟ∀ﾟ)･∵. ｸﾞﾊｯ!!	ぐはっ
( T_T)＼(^-^ )	よしよし 摸摸 安慰 笑
＿|￣|○ il||li	がーん
⊂ﾟＵ┬───┬~	いぬ どうぶつ 动物 みにちゅあだっくす
m9(^Д^)ﾌﾟｷﾞｬｰ	ぷぎゃー
(*´･ω･)(･ω･｀*)ﾈｰ	ねー
c(`Д´と⌒ｃ)つ彡 ﾔﾀﾞﾔﾀﾞ	やだやだ
(-_-)/~~~ピシー!ピシー!	ぴしー
(゜∀。)ﾜﾋｬﾋｬﾋｬﾋｬﾋｬﾋｬ	あひゃ わひゃ
( ‘д‘⊂彡☆))Д´) ﾊﾟｰﾝ	ぱーん
工ｴｴｪｪ(´д｀)ｪｪｴｴ工	ええ えぇ
ｷﾀ━━━━(ﾟ∀ﾟ)━━━━!!	きたー
(((((((((((っ･ω･)っ ﾌﾞｰﾝ	ぶーん
((((；ﾟДﾟ))))ｶﾞｸｶﾞｸﾌﾞﾙﾌﾞﾙ	がくぶる
(。-ω-)zzz. . . (。ﾟωﾟ) ﾊｯ!	ねる 睡觉 ぐーぐー
(:3[▓▓]	ねる 睡觉 ふとん
(¦3[▓▓]	ねる 睡觉 ふとん
=͟͟͞͞ (¦3[▓▓]	ねる 睡觉 ふとん
